AgentID,C4,C5,experiment,in_degree,max_od
25,0.0,0.1,14,5,6
26,0.0,0.1,14,2,6
27,0.0,0.1,14,4,6
28,0.0,0.1,14,10,6
29,0.0,0.1,14,2,6
30,0.0,0.1,14,2,6
31,0.0,0.1,14,67,6
32,0.0,0.1,14,1,6
33,0.0,0.1,14,0,6
34,0.0,0.1,14,1,6
35,0.0,0.1,14,51,6
36,0.0,0.1,14,20,6
37,0.0,0.1,14,5,6
38,0.0,0.1,14,6,6
39,0.0,0.1,14,4,6
40,0.0,0.1,14,4,6
41,0.0,0.1,14,1,6
42,0.0,0.1,14,4,6
43,0.0,0.1,14,0,6
44,0.0,0.1,14,4,6
45,0.0,0.1,14,0,6
46,0.0,0.1,14,2,6
47,0.0,0.1,14,7,6
48,0.0,0.1,14,22,6
49,0.0,0.1,14,0,6
0,0.0,0.1,15,0,7
1,0.0,0.1,15,14,7
2,0.0,0.1,15,27,7
3,0.0,0.1,15,4,7
4,0.0,0.1,15,0,7
5,0.0,0.1,15,7,7
6,0.0,0.1,15,11,7
7,0.0,0.1,15,4,7
8,0.0,0.1,15,14,7
9,0.0,0.1,15,2,7
10,0.0,0.1,15,8,7
11,0.0,0.1,15,0,7
12,0.0,0.1,15,0,7
13,0.0,0.1,15,0,7
14,0.0,0.1,15,36,7
15,0.0,0.1,15,1,7
16,0.0,0.1,15,16,7
17,0.0,0.1,15,11,7
18,0.0,0.1,15,3,7
19,0.0,0.1,15,6,7
20,0.0,0.1,15,9,7
21,0.0,0.1,15,18,7
22,0.0,0.1,15,2,7
23,0.0,0.1,15,0,7
24,0.0,0.1,15,0,7
25,0.0,0.1,15,21,7
26,0.0,0.1,15,0,7
27,0.0,0.1,15,2,7
28,0.0,0.1,15,1,7
29,0.0,0.1,15,3,7
30,0.0,0.1,15,5,7
31,0.0,0.1,15,5,7
32,0.0,0.1,15,5,7
33,0.0,0.1,15,0,7
34,0.0,0.1,15,23,7
35,0.0,0.1,15,5,7
36,0.0,0.1,15,6,7
37,0.0,0.1,15,2,7
38,0.0,0.1,15,4,7
39,0.0,0.1,15,1,7
40,0.0,0.1,15,13,7
41,0.0,0.1,15,11,7
42,0.0,0.1,15,11,7
43,0.0,0.1,15,2,7
44,0.0,0.1,15,0,7
45,0.0,0.1,15,2,7
46,0.0,0.1,15,2,7
47,0.0,0.1,15,2,7
48,0.0,0.1,15,1,7
49,0.0,0.1,15,30,7
0,0.0,0.1,16,8,8
1,0.0,0.1,16,5,8
2,0.0,0.1,16,16,8
3,0.0,0.1,16,3,8
4,0.0,0.1,16,66,8
5,0.0,0.1,16,1,8
6,0.0,0.1,16,1,8
7,0.0,0.1,16,10,8
8,0.0,0.1,16,0,8
9,0.0,0.1,16,1,8
10,0.0,0.1,16,0,8
11,0.0,0.1,16,6,8
12,0.0,0.1,16,0,8
13,0.0,0.1,16,2,8
14,0.0,0.1,16,4,8
15,0.0,0.1,16,0,8
16,0.0,0.1,16,1,8
17,0.0,0.1,16,31,8
18,0.0,0.1,16,2,8
19,0.0,0.1,16,0,8
20,0.0,0.1,16,20,8
21,0.0,0.1,16,0,8
22,0.0,0.1,16,3,8
23,0.0,0.1,16,1,8
24,0.0,0.1,16,0,8
25,0.0,0.1,16,2,8
26,0.0,0.1,16,7,8
27,0.0,0.1,16,19,8
28,0.0,0.1,16,4,8
29,0.0,0.1,16,24,8
30,0.0,0.1,16,21,8
31,0.0,0.1,16,1,8
32,0.0,0.1,16,1,8
33,0.0,0.1,16,1,8
34,0.0,0.1,16,22,8
35,0.0,0.1,16,0,8
36,0.0,0.1,16,0,8
37,0.0,0.1,16,12,8
38,0.0,0.1,16,0,8
39,0.0,0.1,16,4,8
40,0.0,0.1,16,11,8
41,0.0,0.1,16,4,8
42,0.0,0.1,16,25,8
43,0.0,0.1,16,11,8
44,0.0,0.1,16,0,8
45,0.0,0.1,16,9,8
46,0.0,0.1,16,11,8
47,0.0,0.1,16,3,8
48,0.0,0.1,16,27,8
49,0.0,0.1,16,0,8
0,0.0,0.1,17,8,9
1,0.0,0.1,17,23,9
2,0.0,0.1,17,1,9
3,0.0,0.1,17,25,9
4,0.0,0.1,17,35,9
5,0.0,0.1,17,6,9
6,0.0,0.1,17,5,9
7,0.0,0.1,17,0,9
8,0.0,0.1,17,0,9
9,0.0,0.1,17,11,9
10,0.0,0.1,17,0,9
11,0.0,0.1,17,8,9
12,0.0,0.1,17,13,9
13,0.0,0.1,17,25,9
